,equity
741,12132.886858914555
742,12132.886858914555
743,12132.886858914555
744,12132.886858914555
745,12132.886858914555
746,12132.886858914555
747,12132.886858914555
748,12132.886858914555
749,12132.886858914555
750,12132.886858914555
751,12132.886858914555
752,12132.886858914555
753,12132.886858914555
754,12132.886858914555
755,12132.886858914555
756,12132.886858914555
757,12132.886858914555
758,12126.82344719096
759,11702.501136105617
760,11577.522400125952
761,11577.522400125952
762,11577.522400125952
763,11571.736531860022
764,11445.609567809122
765,11221.183088517113
766,11198.953932497576
767,12341.212552236126
768,11980.063458460949
769,12469.196086033448
770,10820.953473807978
771,11282.068776118871
772,10852.550548653406
773,10768.637713856255
774,10768.637713856255
775,10768.637713856255
776,10768.637713856255
777,10768.637713856255
778,10768.637713856255
779,10768.637713856255
780,10768.637713856255
781,10768.637713856255
782,10768.637713856255
783,10768.637713856255
784,10768.637713856255
785,10768.637713856255
786,10768.637713856255
787,10768.637713856255
788,10768.637713856255
789,10768.637713856255
790,10768.637713856255
791,10768.637713856255
792,10768.637713856255
793,10768.637713856255
794,10768.637713856255
795,10768.637713856255
796,10768.637713856255
797,10768.637713856255
798,10768.637713856255
799,10768.637713856255
800,10768.637713856255
801,10768.637713856255
802,10768.637713856255
803,10768.637713856255
804,10768.637713856255
805,10768.637713856255
806,10768.637713856255
807,10768.637713856255
808,10768.637713856255
809,10768.637713856255
810,10768.637713856255
811,10768.637713856255
812,10768.637713856255
813,10768.637713856255
814,10768.637713856255
815,10768.637713856255
816,10768.637713856255
817,10768.637713856255
818,10768.637713856255
819,10768.637713856255
820,10763.25608581335
821,9892.220045069891
822,9009.126473308263
823,9122.117177490893
824,9386.22924746071
825,9286.228758304922
826,9286.228758304922
827,9286.228758304922
828,9286.228758304922
829,9286.228758304922
830,9286.228758304922
831,9286.228758304922
832,9286.228758304922
833,9286.228758304922
834,9286.228758304922
835,9286.228758304922
836,9286.228758304922
837,9286.228758304922
838,9286.228758304922
839,9286.228758304922
840,9286.228758304922
841,9286.228758304922
842,9286.228758304922
843,9286.228758304922
844,9286.228758304922
845,9286.228758304922
846,9286.228758304922
847,9286.228758304922
848,9286.228758304922
849,9286.228758304922
850,9286.228758304922
851,9281.587964322762
852,10349.301087549537
853,10432.113822920757
854,10854.079967571197
855,13226.424798387807
856,16638.606395030136
857,16484.61690585381
858,16477.804402271082
859,16663.731024603112
860,17138.328168375898
861,14864.451922503631
862,13049.00971475965
863,13187.459714178558
864,13068.589980928238
865,12467.744255282289
866,12282.071260986044
867,12166.310482016337
868,12166.310482016337
869,12166.310482016337
870,12166.310482016337
871,12166.310482016337
872,12166.310482016337
873,12166.310482016337
874,12166.310482016337
875,12166.310482016337
876,12166.310482016337
877,12166.310482016337
878,12166.310482016337
879,12166.310482016337
880,12166.310482016337
881,12166.310482016337
882,12166.310482016337
883,12166.310482016337
884,12166.310482016337
885,12166.310482016337
886,12166.310482016337
887,12166.310482016337
888,12166.310482016337
889,12166.310482016337
890,12166.310482016337
891,12166.310482016337
892,12166.310482016337
893,12166.310482016337
894,12166.310482016337
895,12166.310482016337
896,12166.310482016337
897,12166.310482016337
898,12166.310482016337
899,12166.310482016337
900,12166.310482016337
901,12166.310482016337
902,12166.310482016337
903,12166.310482016337
904,12166.310482016337
905,12166.310482016337
906,12160.23036683292
907,13358.643819097011
908,12957.349714932347
909,12498.574824716103
910,12776.937354749769
911,13219.442999698707
912,13442.668540922374
913,13614.350551970072
914,14183.927842855443
915,15473.260073246849
916,16285.634567302604
917,15607.266703259862
918,15264.68303740527
919,15338.980591401105
920,15264.215551265499
921,15584.941966322756
922,16128.053538959455
923,16777.67191491537
924,16856.929915226712
925,16505.851462319486
926,15894.55421673525
927,15616.016152022761
928,16103.22947923668
929,16118.561933212179
930,15821.13524564006
931,15723.459746633585
932,15565.99513507236
933,15773.811823807291
934,15670.77451253035
935,15670.77451253035
936,15670.77451253035
