,equity
1019,63867.41504666336
1020,47487.43450503806
1021,47487.43450503806
1022,47487.43450503806
1023,47487.43450503806
1024,47487.43450503806
1025,47487.43450503806
1026,47487.43450503806
1027,47487.43450503806
1028,47487.43450503806
1029,47487.43450503806
1030,47487.43450503806
1031,47487.43450503806
1032,47487.43450503806
1033,47487.43450503806
1034,47487.43450503806
1035,47487.43450503806
1036,47487.43450503806
1037,47487.43450503806
1038,47487.43450503806
1039,47487.43450503806
1040,47487.43450503806
1041,47487.43450503806
1042,47487.43450503806
1043,47487.43450503806
1044,47487.43450503806
1045,47487.43450503806
1046,47487.43450503806
1047,47487.43450503806
1048,47487.43450503806
1049,47487.43450503806
1050,47487.43450503806
1051,47487.43450503806
1052,47487.43450503806
1053,47487.43450503806
1054,47487.43450503806
1055,47487.43450503806
1056,47487.43450503806
1057,47487.43450503806
1058,47487.43450503806
1059,47487.43450503806
1060,47487.43450503806
1061,47487.43450503806
1062,47487.43450503806
1063,47487.43450503806
1064,47487.43450503806
1065,47487.43450503806
1066,47487.43450503806
1067,47487.43450503806
1068,47487.43450503806
1069,47487.43450503806
1070,47487.43450503806
1071,47487.43450503806
1072,47487.43450503806
1073,47487.43450503806
1074,47487.43450503806
1075,47487.43450503806
